ASIN,category,image,price,rating,title,url
B096YKMZL9,pants,https://m.media-amazon.com/images/I/71xXf6Zrp0L._AC_UL320_.jpg,28.5,4.3,Men's Classic-Fit Stretch Golf Pant (Available in Big & Tall),https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07N1LWCF5,pants,https://m.media-amazon.com/images/I/61IzlsKTv3L._AC_UL320_.jpg,25.49,4.6,Bootcut Yoga Pants with Pockets for Women Wide Leg Pants High Waist Workout Pants Tummy Control Work Pants 4 Pockets,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B09H79PW6X,pants,https://m.media-amazon.com/images/I/71E9cr3vZAL._AC_UL320_.jpg,29.99,4.5,"Men's Sweatpants with Zipper Pockets Tapered Joggers for Men Athletic Pants for Workout, Jogging, Running",https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07B92KG5R,pants,https://m.media-amazon.com/images/I/610IP-CYydL._AC_UL320_.jpg,39.99,4.5,Men's Classic Fit Easy Khaki Pants (Regular and Big & Tall),https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B06XN66DXP,pants,https://m.media-amazon.com/images/I/61trccDbwQL._AC_UL320_.jpg,11.0,4.4,ComfortSoft EcoSmart Men's Fleece Sweatpants,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B082WZTVFJ,pants,https://m.media-amazon.com/images/I/61Pk2DHgl9L._AC_UL320_.jpg,21.99,4.2,"Women’s Classic Denim Leggings, Jeggings for Women with Real Back Pockets, High Waisted Stretch Jeans",https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07CT6R8M5,pants,https://m.media-amazon.com/images/I/51rrGSglWkL._AC_UL320_.jpg,59.99,4.6,Men's Rugged Flex Relaxed Fit Canvas Double-Front Utility Work Pant,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07HDL8J8F,pants,https://m.media-amazon.com/images/I/71xDEFF5smL._AC_UL320_.jpg,11.9,4.4,"mens Ecosmart Jogger Sweatpants, Men's Midweight Fleece Lounge Pants, 30.5",https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B0C9Q4RJ3Z,pants,https://m.media-amazon.com/images/I/716aoWg2UqL._AC_UL320_.jpg,19.99,4.4,Women's Wide Leg Pants with Pockets High Waist Adjustable Knot Loose Casual Trousers Business Work Casual Pants,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=6&crid=3MYZV2AP3DPNY&qid=1727930477&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_5
B07GYTLG1P,pants,https://m.media-amazon.com/images/I/71gNvzKBGKL._AC_UL320_.jpg,33.99,4.2,Women High Waist Casual Wide Leg Long Palazzo Pants Trousers Regular Size,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B0CKKPXPCR,pants,https://m.media-amazon.com/images/I/61xawSVlgLL._AC_UL320_.jpg,21.99,4.0,Men's Casual Cargo Pants Workout Joggers Stretch Sweatpants Hiking Drawstring Tactical Pants with Multi Pockets,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B073V3TQHL,pants,https://m.media-amazon.com/images/I/51QDVKGf5bL._AC_UL320_.jpg,27.99,4.5,Men's Relaxed Fit Flex Jeans,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B0193H2IO6,pants,https://m.media-amazon.com/images/I/51ao3xOb-zL._AC_UL320_.jpg,36.9,4.5,Men's Big & Tall Extreme Motion Flat Front Regular Straight Pant,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07S1F59G8,pants,https://m.media-amazon.com/images/I/71wU4aW1QkL._AC_UL320_.jpg,14.3,4.3,Women's Classic Tapered Amanda Jeans Regular,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B079BJ3TCW,pants,https://m.media-amazon.com/images/I/61-ggTRsdrL._AC_UL320_.jpg,24.99,4.6,"High Waist Yoga Pants with Pockets, Leggings for Women Tummy Control, Workout Leggings for Women 4 Way Stretch",https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B086Y8DL2L,pants,https://m.media-amazon.com/images/I/5180gDBGheL._AC_UL320_.jpg,7.79,4.6,Boys' Stretch Chino Pants,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B074847M43,pants,https://m.media-amazon.com/images/I/71NNy7Dg9OL._AC_UL320_.jpg,39.99,4.5,Men's Classic Fit Workday Khaki Smart 360 FLEX Pants (Standard and Big & Tall),https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07F24WCH1,pants,https://m.media-amazon.com/images/I/61Z5Vs5NU5L._AC_UL320_.jpg,23.7,4.3,Men's Straight-Fit Wrinkle-Resistant Flat-Front Chino Pant,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07MCN1NGK,pants,https://m.media-amazon.com/images/I/5105J8mKoCS._AC_UL320_.jpg,35.66,4.6,Women's Go Walk Pant,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B009TVWOYG,pants,https://m.media-amazon.com/images/I/81Avaxt+atL._AC_UL320_.jpg,42.39,4.6,Men's Heavyweight Fleece Cargo Pants,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07HNT2Z9Y,pants,https://m.media-amazon.com/images/I/71lUS4tZs9L._AC_UL320_.jpg,49.99,4.5,Men's Modern Fit Dress Pant,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07P3GY2N9,pants,https://m.media-amazon.com/images/I/81Ft9c9JNtL._AC_UL320_.jpg,23.7,4.4,Men's Athletic-Fit 5-Pocket Stretch Twill Pant (Available in Big & Tall),https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B09BN1KH18,pants,https://m.media-amazon.com/images/I/51z9BlLTBmL._AC_UL320_.jpg,29.58,4.0,Dress Pants Women Work Business Pants Tummy Control Office Straight Leg Trousers High Waisted Ladies Slacks,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=7&crid=3MYZV2AP3DPNY&qid=1727930478&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_6
